"CODE"	"lfd"	"trial"	"Upn"	"treat"	"ansshort"	"anslong"	"subjsicher"	"lfd"	"trial"	"Upn"	"solution"	"differ"
"132"	"CA33"	132	12	7	"T"	4	"Pik"	60	132	12	7	"Herz"	"FALSCH"
"133"	"CA33"	133	13	7	"T"	1	"Herz"	20	133	13	7	"Karo"	"FALSCH"
"134"	"CA33"	134	14	7	"T"	7	"Pik"	40	134	14	7	"Pik"	"FALSCH"
"135"	"CA33"	135	15	7	"T"	2	"Karo"	70	135	15	7	"Kreuz"	"FALSCH"
"136"	"CA33"	136	16	7	"T"	1	"Herz"	50	136	16	7	"Pik"	"FALSCH"
"137"	"CA33"	137	17	7	"T"	1	"Herz"	40	137	17	7	"Kreuz"	"FALSCH"
"138"	"CA33"	138	18	7	"T"	2	"Karo"	30	138	18	7	"Herz"	"FALSCH"
"139"	"CA33"	139	19	7	"T"	4	"Pik"	20	139	19	7	"Herz"	"FALSCH"
"140"	"CA33"	140	20	7	"T"	2	"Karo"	30	140	20	7	"Kreuz"	"FALSCH"
"141"	"MA0531"	141	1	8	"C"	1	"Herz"	30	141	1	8	"Herz"	"WAHR"
"142"	"MA0531"	142	2	8	"C"	4	"Pik"	30	142	2	8	"Kreuz"	"FALSCH"
"143"	"MA0531"	143	3	8	"C"	4	"Pik"	40	143	3	8	"Pik"	"WAHR"
"144"	"MA0531"	144	4	8	"C"	2	"Karo"	30	144	4	8	"Pik"	"FALSCH"
"145"	"MA0531"	145	5	8	"C"	1	"Herz"	30	145	5	8	"Pik"	"FALSCH"
"146"	"MA0531"	146	6	8	"C"	3	"Kreuz"	30	146	6	8	"Herz"	"FALSCH"
"147"	"MA0531"	147	7	8	"C"	3	"Kreuz"	40	147	7	8	"Herz"	"FALSCH"
"148"	"MA0531"	148	8	8	"C"	3	"Kreuz"	50	148	8	8	"Herz"	"FALSCH"
"149"	"MA0531"	149	9	8	"C"	3	"Kreuz"	60	149	9	8	"Kreuz"	"WAHR"
"150"	"MA0531"	150	10	8	"C"	4	"Pik"	30	150	10	8	"Herz"	"FALSCH"
"151"	"MA0531"	151	11	8	"C"	1	"Herz"	30	151	11	8	"Pik"	"FALSCH"
"152"	"MA0531"	152	12	8	"C"	2	"Karo"	30	152	12	8	"Karo"	"WAHR"
"153"	"MA0531"	153	13	8	"C"	1	"Herz"	30	153	13	8	"Karo"	"FALSCH"
"154"	"MA0531"	154	14	8	"C"	2	"Karo"	30	154	14	8	"Kreuz"	"FALSCH"
"155"	"MA0531"	155	15	8	"C"	3	"Kreuz"	30	155	15	8	"Karo"	"FALSCH"
"156"	"MA0531"	156	16	8	"C"	1	"Herz"	30	156	16	8	"Kreuz"	"FALSCH"
"157"	"MA0531"	157	17	8	"C"	1	"Herz"	30	157	17	8	"Herz"	"WAHR"
"158"	"MA0531"	158	18	8	"C"	4	"Pik"	40	158	18	8	"Kreuz"	"FALSCH"
"159"	"MA0531"	159	19	8	"C"	1	"Herz"	30	159	19	8	"Pik"	"FALSCH"
"160"	"MA0531"	160	20	8	"C"	3	"Kreuz"	30	160	20	8	"Herz"	"FALSCH"
"161"	"IL39"	161	1	9	"C"	1	"Herz"	25	161	1	9	"Pik"	"FALSCH"
"162"	"IL39"	162	2	9	"C"	4	"Pik"	25	162	2	9	"Herz"	"FALSCH"
"163"	"IL39"	163	3	9	"C"	3	"Kreuz"	25	163	3	9	"Pik"	"FALSCH"
"164"	"IL39"	164	4	9	"C"	2	"Karo"	25	164	4	9	"Karo"	"WAHR"
"165"	"IL39"	165	5	9	"C"	2	"Karo"	25	165	5	9	"Karo"	"WAHR"
"166"	"IL39"	166	6	9	"C"	4	"Pik"	25	166	6	9	"Herz"	"FALSCH"
"167"	"IL39"	167	7	9	"C"	1	"Herz"	25	167	7	9	"Pik"	"FALSCH"
"168"	"IL39"	168	8	9	"C"	3	"Kreuz"	25	168	8	9	"Karo"	"FALSCH"
"169"	"IL39"	169	9	9	"C"	3	"Kreuz"	25	169	9	9	"Kreuz"	"WAHR"
"170"	"IL39"	170	10	9	"C"	3	"Kreuz"	25	170	10	9	"Pik"	"FALSCH"
"171"	"IL39"	171	11	9	"C"	1	"Herz"	25	171	11	9	"Kreuz"	"FALSCH"
"172"	"IL39"	172	12	9	"C"	4	"Pik"	25	172	12	9	"Herz"	"FALSCH"
"173"	"IL39"	173	13	9	"C"	2	"Karo"	25	173	13	9	"Herz"	"FALSCH"
"174"	"IL39"	174	14	9	"C"	2	"Karo"	25	174	14	9	"Pik"	"FALSCH"
