"ID"	"W.noSC"	"uW.noSC"	"cc.noSC"	"age"	"sex"	"class"	"schoolt"	"schooltype"	"W.wSC"	"uW.wSC"	"cc.wSC"	"Schultyp"	"school"	"stype"
"94"	94	256	135	0.88	14	"w"	9	"1"	"R"	232	134	NA	"1"	"Realschule"	"R"
"95"	95	220	119	1.02	15	"w"	9	"1"	"R"	201	118	NA	"1"	"Realschule"	"R"
"96"	96	329	150	0.68	14	"w"	9	"1"	"R"	305	149	NA	"1"	"Realschule"	"R"
"97"	97	215	116	1.05	14	"w"	9	"1"	"R"	194	115	NA	"1"	"Realschule"	"R"
"98"	98	210	133	1.07	15	"m"	9	"1"	"R"	190	132	NA	"1"	"Realschule"	"R"
"99"	99	103	62	2.19	15	"m"	9	"1"	"R"	89	61	NA	"1"	"Realschule"	"R"
"100"	100	109	67	2.07	15	"m"	9	"1"	"R"	94	66	0.43	"1"	"Realschule"	"R"
"101"	101	279	163	0.81	14	"m"	9	"1"	"R"	258	161	0.16	"1"	"Realschule"	"R"
"102"	102	159	89	1.42	15	"m"	9	"1"	"R"	146	88	0.28	"1"	"Realschule"	"R"
"103"	103	114	72	1.98	14	"m"	9	"1"	"R"	102	71	0.39	"1"	"Realschule"	"R"
"104"	104	96	64	2.35	14	"m"	9	"1"	"R"	87	63	0.46	"1"	"Realschule"	"R"
"105"	105	297	151	0.76	15	"m"	9	"1"	"R"	275	150	0.15	"1"	"Realschule"	"R"
"106"	106	188	112	1.2	15	"m"	9	"1"	"R"	175	111	0.23	"1"	"Realschule"	"R"
"107"	107	154	102	1.46	15	"m"	9	"1"	"R"	138	101	0.29	"1"	"Realschule"	"R"
"108"	108	136	80	1.66	16	"w"	9	"1"	"R"	124	79	0.32	"1"	"Realschule"	"R"
"109"	109	133	96	1.69	17	"m"	9	"1"	"R"	117	95	0.34	"1"	"Realschule"	"R"
"110"	110	90	64	2.5	15	"m"	9	"1"	"R"	77	63	0.52	"1"	"Realschule"	"R"
"111"	111	187	121	1.2	16	"m"	9	"1"	"R"	169	120	0.24	"1"	"Realschule"	"R"
"112"	112	121	76	1.86	16	"m"	9	"1"	"R"	106	75	0.38	"1"	"Realschule"	"R"
"113"	113	94	61	2.4	16	"m"	9	"1"	"R"	83	60	0.48	"1"	"Realschule"	"R"
"114"	114	135	73	1.67	16	"m"	9	"1"	"R"	118	72	0.34	"1"	"Realschule"	"R"
"115"	115	98	60	2.3	16	"m"	9	"1"	"R"	85	59	0.47	"1"	"Realschule"	"R"
"116"	116	178	100	1.26	15	"m"	10	"1"	"R"	160	99	0.25	"1"	"Realschule"	"R"
"117"	117	256	145	0.88	16	"m"	10	"1"	"R"	239	144	0.17	"1"	"Realschule"	"R"
"118"	118	161	101	1.4	17	"m"	10	"1"	"R"	147	100	0.27	"1"	"Realschule"	"R"
"119"	119	108	73	2.08	16	"m"	10	"1"	"R"	93	72	0.43	"1"	"Realschule"	"R"
"120"	120	224	122	1.01	16	"m"	10	"1"	"R"	209	121	0.19	"1"	"Realschule"	"R"
"121"	121	176	110	1.28	15	"m"	10	"1"	"R"	159	109	0.25	"1"	"Realschule"	"R"
"122"	122	201	119	1.12	17	"m"	10	"1"	"R"	183	118	0.22	"1"	"Realschule"	"R"
"123"	123	191	96	1.18	16	"w"	10	"1"	"R"	173	95	0.23	"1"	"Realschule"	"R"
"124"	124	292	150	0.77	15	"w"	10	"1"	"R"	270	149	0.15	"1"	"Realschule"	"R"
"125"	125	97	69	2.32	16	"m"	10	"1"	"R"	86	68	0.47	"1"	"Realschule"	"R"
"126"	126	238	133	0.95	16	"w"	10	"1"	"R"	215	132	0.19	"1"	"Realschule"	"R"
"127"	127	268	154	0.84	15	"w"	10	"1"	"R"	248	153	0.16	"1"	"Realschule"	"R"
"128"	128	230	146	0.98	15	"w"	10	"1"	"R"	212	145	0.19	"1"	"Realschule"	"R"
"129"	129	220	124	1.02	16	"m"	10	"1"	"R"	192	123	0.21	"1"	"Realschule"	"R"
"130"	130	170	91	1.32	16	"m"	10	"1"	"R"	152	90	0.26	"1"	"Realschule"	"R"
"131"	131	87	60	2.59	16	"m"	10	"1"	"R"	76	59	0.53	"1"	"Realschule"	"R"
"132"	132	233	139	0.97	16	"w"	10	"1"	"R"	216	138	0.19	"1"	"Realschule"	"R"
"133"	133	76	49	2.96	15	"m"	10	"1"	"R"	62	48	0.65	"1"	"Realschule"	"R"
"134"	134	273	144	0.82	16	"w"	10	"1"	"R"	250	143	0.16	"1"	"Realschule"	"R"
"135"	135	158	94	1.43	16	"m"	10	"1"	"R"	136	93	0.3	"1"	"Realschule"	"R"
"136"	136	167	107	1.35	17	"m"	10	"1"	"R"	150	106	NA	"1"	"Realschule"	"R"
"137"	137	110	68	2.05	16	"m"	10	"1"	"R"	96	67	NA	"1"	"Realschule"	"R"
"138"	138	183	92	1.23	16	"w"	10	"1"	"R"	169	91	NA	"1"	"Realschule"	"R"
"139"	139	140	80	1.61	16	"m"	10	"1"	"R"	128	79	NA	"1"	"Realschule"	"R"
"140"	140	280	139	0.8	16	"w"	10	"1"	"R"	259	138	NA	"1"	"Realschule"	"R"
"141"	141	326	171	0.69	14	"m"	9	"1"	"R"	293	170	NA	"1"	"Realschule"	"R"
