"prob"	"prior"	"likelihood"	"post"
"83"	0.99	0.4176443726681	0.27565060367644	0.421147950325548
"84"	0.99	0.552254486757669	0.724349396323559	0.55089309219208
"85"	0.69	0.460225815519059	0.530181693448762	0.467496026325918
"86"	0.69	0.511546266874213	0.753160314011137	0.517750546385711
"87"	0.95	0.436503559716511	0.420183830288963	0.444230546504066
"88"	0.95	0.535403708854808	0.835582135587981	0.541083741785374
"89"	0.99	0.421147950325548	0.351686285708328	0.429156070194202
"90"	0.99	0.55089309219208	0.87913459846322	0.556225236350237
"91"	0.69	0.467496026325918	0.759758612970029	0.484843060842975
"92"	0.69	0.517750546385711	0.917530431940785	0.533906120903367
"93"	0.95	0.444230546504066	0.659947444975823	0.46205128564311
"94"	0.95	0.541083741785374	0.959123127362357	0.556615860876496
"95"	0.99	0.429156070194202	0.589879869781613	0.447254734339571
"96"	0.99	0.556225236350237	0.976414562614847	0.571331204583206
"97"	0.69	0.484843060842975	0.355488653129992	0.483828831048998
"98"	0.69	0.533906120903367	0.587835682562546	0.53194811411603
"99"	0.95	0.46205128564311	0.258326289555135	0.461479602862917
"100"	0.95	0.556615860876496	0.690498749847664	0.554230948305909
"101"	0.99	0.447254734339571	0.202965437304304	0.446969942981764
"102"	0.99	0.571331204583206	0.750841169900454	0.56867487310976
"103"	0.69	0.483828831048998	0.25856615213555	0.475546423628538
"104"	0.69	0.53194811411603	0.441361196101881	0.522324490807464
"105"	0.95	0.461479602862917	0.187659539080695	0.453852709339868
"106"	0.95	0.554230948305909	0.532177989298619	0.544026671843979
"107"	0.99	0.446969942981764	0.148064733710898	0.439777282332171
"108"	0.99	0.56867487310976	0.590352596957162	0.558110482009042
"109"	0.69	0.475546423628538	0.251339723072047	0.469947103924003
"110"	0.69	0.522324490807464	0.458137224846269	0.515758007075095
"111"	0.95	0.453852709339868	0.17339066476362	0.448722344396074
"112"	0.95	0.544026671843979	0.560555339085805	0.537037289241201
"113"	0.99	0.439777282332171	0.131241420441926	0.434956489555391
"114"	0.99	0.558110482009042	0.625135541022948	0.550857149351605
"115"	0.69	0.469947103924003	0.543433049302604	0.475453035606904
"116"	0.69	0.515758007075095	0.776213141381028	0.520584098624904
"117"	0.95	0.448722344396074	0.426407562513103	0.454521890974321
"118"	0.95	0.537037289241201	0.858492134458264	0.541529913202167
"119"	0.99	0.434956489555391	0.353521159109963	0.440938012898611
"120"	0.99	0.550857149351605	0.900324933231883	0.555128319962261
"121"	0.69	0.475453035606904	0.612234383357055	0.483566294539166
"122"	0.69	0.520584098624904	0.816669331533083	0.527912880427532
"123"	0.95	0.454521890974321	0.503285618965856	0.462969213847041
"124"	0.95	0.541529913202167	0.885766123221676	0.548468932612174
"125"	0.99	0.440938012898611	0.432604985660457	0.449590693751035
"126"	0.99	0.555128319962261	0.920288474593719	0.561806808089135
"127"	0.69	0.483566294539166	0.496523587013981	0.487447806110178
"128"	0.69	0.527912880427532	0.717980615770527	0.531047224904849
"129"	0.95	0.462969213847041	0.390832951085223	0.467184088961473
"130"	0.95	0.548468932612174	0.803848496198287	0.551247034191302
"131"	0.99	0.449590693751035	0.325858894894731	0.454016262986449
"132"	0.99	0.561806808089135	0.850793428874062	0.564351541294781
"133"	0.69	0.487447806110178	0.216088723511495	0.479531995731464
"134"	0.69	0.531047224904849	0.40349431695229	0.522242043520149
"135"	0.95	0.467184088961473	0.147667072226165	0.459707826566197
"136"	0.95	0.551247034191302	0.500201527491643	0.542060330714452
"137"	0.99	0.454016262986449	0.111128902051221	0.446833209464394
"138"	0.99	0.564351541294781	0.562909734959209	0.554929122228998
"139"	0.69	0.479531995731464	0.283428622690643	0.477194958923547
"140"	0.69	0.522242043520149	0.524755046650645	0.519348933954291
"141"	0.95	0.459707826566197	0.190873457121106	0.457636068472465
"142"	0.95	0.542060330714452	0.638101260125217	0.538918982686278
"143"	0.99	0.446833209464394	0.141265984323861	0.444935368388501
"144"	0.99	0.554929122228998	0.706312180135333	0.551630744826429
"145"	0.69	0.477194958923547	0.0799860405926965	0.470675849332926
"146"	0.69	0.519348933954291	0.287874234544199	0.512394677520469
"147"	0.95	0.457636068472465	0.0322710052766978	0.451339127423834
"148"	0.95	0.538918982686278	0.421034446626202	0.531784963251968
"149"	0.99	0.444935368388501	0.0154039824603621	0.438788993049849
"150"	0.99	0.551630744826429	0.511290033187274	0.54438817514885
"151"	0.69	0.470675849332926	0.530001063047859	0.474369178186692
"152"	0.69	0.512394677520469	0.786655779559243	0.51567538914426
"153"	0.95	0.451339127423834	0.401306981913798	0.455211686518672
"154"	0.95	0.531784963251968	0.873687889872533	0.534863749768654
"155"	0.99	0.438788993049849	0.322748038920552	0.442773188574007
"156"	0.99	0.54438817514885	0.91590345745669	0.547332843495513
