"a.prior"	"b.prior"	"a.lik"	"b.lik"	"a.post"	"b.post"	"a"	"b"	"mode.prior"	"mean.prior"	"sd.prior"	"var.prior"	"a"	"b"	"mode.lik"	"mean.lik"	"sd.lik"	"var.lik"	"a"	"b"	"mode.post"	"mean.post"	"sd.post"	"var.post"
"12"	1	1	164	182	164	182	1	1	NA	0.5	0.288675134594813	0.0833333333333333	164	182	0.473837209302326	0.473988439306358	0.0268050598857065	0.000718511235476314	164	182	0.473837209302326	0.473988439306358	0.0268050598857065	0.000718511235476314
"13"	1	1	176	187	176	187	1	1	NA	0.5	0.288675134594813	0.0833333333333333	176	187	0.484764542936288	0.484848484848485	0.0261950855002293	0.000686182504364323	176	187	0.484764542936288	0.484848484848485	0.0261950855002293	0.000686182504364323
"14"	1	1	190	201	190	201	1	1	NA	0.5	0.288675134594813	0.0833333333333333	190	201	0.48586118251928	0.485933503836317	0.0252438178775496	0.000637250341034891	190	201	0.48586118251928	0.485933503836317	0.0252438178775496	0.000637250341034891
"15"	1	1	201	207	201	207	1	1	NA	0.5	0.288675134594813	0.0833333333333333	201	207	0.492610837438424	0.492647058823529	0.024720735298172	0.000611114753682287	201	207	0.492610837438424	0.492647058823529	0.024720735298172	0.000611114753682287
"16"	1	1	218	210	218	210	1	1	NA	0.5	0.288675134594813	0.0833333333333333	218	210	0.509389671361502	0.509345794392523	0.0241360101089518	0.000582546983979424	218	210	0.509389671361502	0.509345794392523	0.0241360101089518	0.000582546983979424
"17"	1	1	226	219	226	219	1	1	NA	0.5	0.288675134594813	0.0833333333333333	226	219	0.507900677200903	0.507865168539326	0.0236727568119113	0.000560399415075892	226	219	0.507900677200903	0.507865168539326	0.0236727568119113	0.000560399415075892
"18"	1	1	235	236	235	236	1	1	NA	0.5	0.288675134594813	0.0833333333333333	235	236	0.498933901918977	0.498938428874735	0.0230143135760921	0.000529658629378699	235	236	0.498933901918977	0.498938428874735	0.0230143135760921	0.000529658629378699
"19"	1	1	242	249	242	249	1	1	NA	0.5	0.288675134594813	0.0833333333333333	242	249	0.492842535787321	0.492871690427699	0.0225394499324496	0.000508026803257401	242	249	0.492842535787321	0.492871690427699	0.0225394499324496	0.000508026803257401
"20"	1	1	252	254	252	254	1	1	NA	0.5	0.288675134594813	0.0833333333333333	252	254	0.498015873015873	0.49802371541502	0.0222056061252785	0.000493088943391004	252	254	0.498015873015873	0.49802371541502	0.0222056061252785	0.000493088943391004
"21"	1	1	265	259	265	259	1	1	NA	0.5	0.288675134594813	0.0833333333333333	265	259	0.505747126436782	0.505725190839695	0.0218203584357906	0.000476128042266379	265	259	0.505747126436782	0.505725190839695	0.0218203584357906	0.000476128042266379
"22"	1	1	276	266	276	266	1	1	NA	0.5	0.288675134594813	0.0833333333333333	276	266	0.509259259259259	0.509225092250922	0.0214534013698748	0.000460248430336947	276	266	0.509259259259259	0.509225092250922	0.0214534013698748	0.000460248430336947
"23"	1	1	283	282	283	282	1	1	NA	0.5	0.288675134594813	0.0833333333333333	283	282	0.50088809946714	0.500884955752212	0.0210165346673237	0.000441694729422821	283	282	0.50088809946714	0.500884955752212	0.0210165346673237	0.000441694729422821
"24"	1	1	289	291	289	291	1	1	NA	0.5	0.288675134594813	0.0833333333333333	289	291	0.498269896193772	0.498275862068966	0.0207433720143895	0.000430287482527358	289	291	0.498269896193772	0.498275862068966	0.0207433720143895	0.000430287482527358
"25"	1	1	291	301	291	301	1	1	NA	0.5	0.288675134594813	0.0833333333333333	291	301	0.491525423728814	0.491554054054054	0.020529609513436	0.000421464866774162	291	301	0.491525423728814	0.491554054054054	0.020529609513436	0.000421464866774162
"26"	1	1	299	305	299	305	1	1	NA	0.5	0.288675134594813	0.0833333333333333	299	305	0.495016611295681	0.495033112582781	0.0203268877028662	0.000413182363684933	299	305	0.495016611295681	0.495033112582781	0.0203268877028662	0.000413182363684933
