"a.prior"	"b.prior"	"a.lik"	"b.lik"	"a.post"	"b.post"	"a"	"b"	"mode.prior"	"mean.prior"	"sd.prior"	"var.prior"	"a"	"b"	"mode.lik"	"mean.lik"	"sd.lik"	"var.lik"	"a"	"b"	"mode.post"	"mean.post"	"sd.post"	"var.post"
"16"	201	207	18	4	218	210	201	207	0.492610837438424	0.492647058823529	0.024720735298172	0.000611114753682287	18	4	0.85	0.818181818181818	0.0804228851753984	0.00646784045993532	218	210	0.509389671361502	0.509345794392523	0.0241360101089518	0.000582546983979424
"17"	218	210	9	10	226	219	218	210	0.509389671361502	0.509345794392523	0.0241360101089518	0.000582546983979424	9	10	0.470588235294118	0.473684210526316	0.111648439134718	0.0124653739612188	226	219	0.507900677200903	0.507865168539326	0.0236727568119113	0.000560399415075892
"18"	226	219	10	18	235	236	226	219	0.507900677200903	0.507865168539326	0.0236727568119113	0.000560399415075892	10	18	0.346153846153846	0.357142857142857	0.0889772998432928	0.00791695988740324	235	236	0.498933901918977	0.498938428874735	0.0230143135760921	0.000529658629378699
"19"	235	236	8	14	242	249	235	236	0.498933901918977	0.498938428874735	0.0230143135760921	0.000529658629378699	8	14	0.35	0.363636363636364	0.100304960794067	0.0100610851598994	242	249	0.492842535787321	0.492871690427699	0.0225394499324496	0.000508026803257401
"20"	242	249	11	6	252	254	242	249	0.492842535787321	0.492871690427699	0.0225394499324496	0.000508026803257401	11	6	0.666666666666667	0.647058823529412	0.112638483265452	0.0126874279123414	252	254	0.498015873015873	0.49802371541502	0.0222056061252785	0.000493088943391004
"21"	252	254	14	6	265	259	252	254	0.498015873015873	0.49802371541502	0.0222056061252785	0.000493088943391004	14	6	0.722222222222222	0.7	0.1	0.01	265	259	0.505747126436782	0.505725190839695	0.0218203584357906	0.000476128042266379
"22"	265	259	12	8	276	266	265	259	0.505747126436782	0.505725190839695	0.0218203584357906	0.000476128042266379	12	8	0.611111111111111	0.6	0.10690449676497	0.0114285714285714	276	266	0.509259259259259	0.509225092250922	0.0214534013698748	0.000460248430336947
"23"	276	266	8	17	283	282	276	266	0.509259259259259	0.509225092250922	0.0214534013698748	0.000460248430336947	8	17	0.304347826086957	0.32	0.0914834999834985	0.00836923076923077	283	282	0.50088809946714	0.500884955752212	0.0210165346673237	0.000441694729422821
"24"	283	282	7	10	289	291	283	282	0.50088809946714	0.500884955752212	0.0210165346673237	0.000441694729422821	7	10	0.4	0.411764705882353	0.116001564374502	0.0134563629373318	289	291	0.498269896193772	0.498275862068966	0.0207433720143895	0.000430287482527358
"25"	289	291	3	11	291	301	289	291	0.498269896193772	0.498275862068966	0.0207433720143895	0.000430287482527358	3	11	0.166666666666667	0.214285714285714	0.105945692672795	0.0112244897959184	291	301	0.491525423728814	0.491554054054054	0.020529609513436	0.000421464866774162
"26"	291	301	9	5	299	305	291	301	0.491525423728814	0.491554054054054	0.020529609513436	0.000421464866774162	9	5	0.666666666666667	0.642857142857143	0.123717914826348	0.0153061224489796	299	305	0.495016611295681	0.495033112582781	0.0203268877028662	0.000413182363684933
